study,domain,sub_domain,source,table_name,variable,label,has_skip_logic,sensitivity,plab_facet,plab_subfacet,alexsa_facet,nobs_00mo,nobs_12mo,nobs_24mo,nobs_36mo,nobs_48mo,nobs_60mo,nobs_72mo
Core,"Friends, Family, & Community",Work & School,Parent,fc_p_sag,fc_p_sag_006a__02___13,"Under which category is your child eligible for their IEP, for primary and secondary designations? [Multi-select]: Multiple disabilities (that is, multiple issues involving educational needs)",yes,not sensitive,school,not applicable,academic competency,0,0,8410,8017,7981,8313,4808
Core,"Friends, Family, & Community",Work & School,Parent,fc_p_sag,fc_p_sag_006b,Has your child ever had an Individualized Education Plan or IEP?',yes,not sensitive,school,not applicable,academic competency,0,0,10280,9637,9068,8332,4805
Core,"Friends, Family, & Community",Community,Youth,fc_y_nsc,fc_y_nsc__pol_001a__01,"How many times has this (police officer provided assistance, protection, or any other services) happened to you in the past year? [Youth]",yes,not sensitive,neighborhood,not applicable,neighborhood atmosphere,0,0,0,0,9711,0,0
Core,"Friends, Family, & Community",Community,Youth,fc_y_nsc,fc_y_nsc__pol_001b__01,"How many times has this (police officer provided assistance, protection, or any other services) happened to a close friend or family member in the past year? [Youth]",yes,not sensitive,neighborhood,not applicable,neighborhood atmosphere,0,0,0,0,5512,0,0
Core,"Friends, Family, & Community",Community,Youth,fc_y_nsc,fc_y_nsc__pol_003a,"Has a police officer ever been physically aggressive towards you, including grabbing or pushing you aggressively? [Youth]",yes,maybe sensitive,neighborhood,not applicable,neighborhood atmosphere,0,0,0,0,9701,0,0
Core,"Friends, Family, & Community",Community,Youth,fc_y_nsc,fc_y_nsc__pol_003a__01,How many times has this (police officer was physically aggressive) happened to you in the past year? [Youth],yes,maybe sensitive,neighborhood,not applicable,neighborhood atmosphere,0,0,0,0,9701,0,0
Core,"Friends, Family, & Community",Community,Youth,fc_y_nsc,fc_y_nsc__pol_003b,"Has a police officer ever been physically aggressive towards a close friend or family member, including grabbing or pushing them aggressively? [Youth]",yes,maybe sensitive,neighborhood,not applicable,neighborhood atmosphere,0,0,0,0,5886,0,0
Core,"Friends, Family, & Community",Community,Youth,fc_y_nsc,fc_y_nsc__pol_003b__01,How many times has this (police officer was physically aggressive) happened to a close friend or family member in the past year? [Youth],yes,maybe sensitive,neighborhood,not applicable,neighborhood atmosphere,0,0,0,0,5886,0,0
Core,"Friends, Family, & Community",Community,Youth,fc_y_nsc,fc_y_nsc__pol_005a,Have you ever been stopped by a police officer for no clear reason? [Youth],yes,maybe sensitive,neighborhood,not applicable,neighborhood atmosphere,0,0,0,0,9701,0,0
Core,"Friends, Family, & Community",Community,Youth,fc_y_nsc,fc_y_nsc__pol_005a__01,How many times has this (stopped by a police officer for no clear reason) happened to you in the past year? [Youth],yes,maybe sensitive,neighborhood,not applicable,neighborhood atmosphere,0,0,0,0,9701,0,0
Core,"Friends, Family, & Community",Community,Youth,fc_y_nsc,fc_y_nsc__pol_005b,Has a close friend or family member ever been stopped by a police officer for no clear reason? [Youth],yes,maybe sensitive,neighborhood,not applicable,neighborhood atmosphere,0,0,0,0,5886,0,0
Core,"Friends, Family, & Community",Community,Youth,fc_y_nsc,fc_y_nsc__pol_005b__01,How many times has this (stopped by a police officer for no clear reason) happened to a close friend or family member in the past year? [Youth],yes,maybe sensitive,neighborhood,not applicable,neighborhood atmosphere,0,0,0,0,5886,0,0
Core,"Friends, Family, & Community",Peers,Youth,fc_y_pnh,fc_y_pnh_002__01,How much help did your close friends give you?,yes,not sensitive,peers and peer relationships,protective peer relationships,social support: youth,0,0,10936,10435,9713,0,5038
Core,"Friends, Family, & Community",Peers,Youth,fc_y_pnh,fc_y_pnh_003__01,How much did your close friends encourage you?,yes,not sensitive,peers and peer relationships,protective peer relationships,social support: youth,0,0,10937,10435,9713,0,5038
Core,"Friends, Family, & Community",Peers,Youth,fc_y_pnh,fc_y_pnh_003__02,"Did any of those activities include art, music, dance, or theater?",yes,not sensitive,peers and peer relationships,protective peer relationships,social support: youth,0,0,10937,10435,9713,0,5038
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__alc__moth_001___1,Problems due to alcohol - Biological mother [Multi-select]: Marital,yes,not sensitive,genetics and family history,not applicable,family behavior problems,11756,0,0,0,0,0,4881
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__alc__moth_001___2,Problems due to alcohol - Biological mother [Multi-select]: Work,yes,not sensitive,genetics and family history,not applicable,family behavior problems,11756,0,0,0,0,0,4881
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__alc__moth_001___3,Problems due to alcohol - Biological mother [Multi-select]: Arrests/DUI,yes,maybe sensitive,genetics and family history,not applicable,family behavior problems,11756,0,0,0,0,0,4881
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__alc__moth_001___4,Problems due to alcohol - Biological mother [Multi-select]: Alcohol treatment program,yes,not sensitive,genetics and family history,not applicable,family behavior problems,11756,0,0,0,0,0,4881
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__alc__moth_001___5,Problems due to alcohol - Biological mother [Multi-select]: School,yes,not sensitive,genetics and family history,not applicable,family behavior problems,11756,0,0,0,0,0,4881
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__alc__moth_001___6,"Problems due to alcohol - Biological mother [Multi-select]: Isolated self, arguments, drunk a lot",yes,not sensitive,genetics and family history,not applicable,family behavior problems,11756,0,0,0,0,0,4881
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__alc__moth_001___7,Problems due to alcohol - Biological mother [Multi-select]: Health,yes,not sensitive,genetics and family history,not applicable,family behavior problems,11756,0,0,0,0,0,4881
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__dep__fath_001,Depression - Biological father,yes,not sensitive,genetics and family history,not applicable,depression,10976,0,0,0,0,0,4736
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__dep__moth_001,Depression - Biological mother,yes,not sensitive,genetics and family history,not applicable,depression,11256,0,0,0,0,0,4844
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__doc__fath_001,Been to doctor or counselor - Biological father,yes,not sensitive,genetics and family history,not applicable,_none_,11051,0,0,0,0,0,4758
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__doc__moth_001,Been to doctor or counselor - Biological mother,yes,not sensitive,genetics and family history,not applicable,_none_,11307,0,0,0,0,0,4859
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__drg__fath_001___1,Problems due to drugs - Biological father [Multi-select]: Marital,yes,not sensitive,genetics and family history,not applicable,family behavior problems,11817,0,0,0,0,0,4891
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__drg__fath_001___2,Problems due to drugs - Biological father [Multi-select]: Work,yes,not sensitive,genetics and family history,not applicable,family behavior problems,11817,0,0,0,0,0,4891
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__drg__fath_001___3,Problems due to drugs - Biological father [Multi-select]: Arrests/DUI,yes,maybe sensitive,genetics and family history,not applicable,family behavior problems,11817,0,0,0,0,0,4891
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__drg__fath_001___4,Problems due to drugs - Biological father [Multi-select]: Drug treatment program,yes,not sensitive,genetics and family history,not applicable,family behavior problems,11817,0,0,0,0,0,4891
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__drg__fath_001___5,Problems due to drugs - Biological father [Multi-select]: School,yes,not sensitive,genetics and family history,not applicable,family behavior problems,11817,0,0,0,0,0,4891
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__drg__fath_001___6,"Problems due to drugs - Biological father [Multi-select]: Isolated self, arguments, on drugs a lot",yes,not sensitive,genetics and family history,not applicable,family behavior problems,11817,0,0,0,0,0,4891
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__drg__fath_001___7,Problems due to drugs - Biological father [Multi-select]: Health,yes,not sensitive,genetics and family history,not applicable,family behavior problems,11817,0,0,0,0,0,4891
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__drg__moth_001___1,Problems due to drugs - Biological mother [Multi-select]: Marital,yes,not sensitive,genetics and family history,not applicable,family behavior problems,11802,0,0,0,0,0,4886
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__drg__moth_001___2,Problems due to drugs - Biological mother [Multi-select]: Work,yes,not sensitive,genetics and family history,not applicable,family behavior problems,11802,0,0,0,0,0,4886
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__drg__moth_001___3,Problems due to drugs - Biological mother [Multi-select]: Arrests/DUI,yes,maybe sensitive,genetics and family history,not applicable,family behavior problems,11802,0,0,0,0,0,4886
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__drg__moth_001___4,Problems due to drugs - Biological mother [Multi-select]: Drug treatment program,yes,not sensitive,genetics and family history,not applicable,family behavior problems,11802,0,0,0,0,0,4886
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__drg__moth_001___5,Problems due to drugs - Biological mother [Multi-select]: School,yes,not sensitive,genetics and family history,not applicable,family behavior problems,11802,0,0,0,0,0,4886
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__drg__moth_001___6,"Problems due to drugs - Biological mother [Multi-select]: Isolated self, arguments, on drugs a lot",yes,not sensitive,genetics and family history,not applicable,family behavior problems,11802,0,0,0,0,0,4886
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__drg__moth_001___7,Problems due to drugs - Biological mother [Multi-select]: Health,yes,not sensitive,genetics and family history,not applicable,family behavior problems,11802,0,0,0,0,0,4886
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__halluc__fath_001,Hallucinations - Biological father,yes,not sensitive,genetics and family history,not applicable,_none_,11344,0,0,0,0,0,4860
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__halluc__moth_001,Hallucinations - Biological mother,yes,not sensitive,genetics and family history,not applicable,_none_,11384,0,0,0,0,0,4871
Core,"Friends, Family, & Community",Community,Youth,fc_y_eut,fc_y_eut__ethn_003a,I feel that I am not wanted in American society:,yes,maybe sensitive,life events,not applicable,_none_,0,10742,10636,0,9480,0,4920
Core,"Friends, Family, & Community",Community,Youth,fc_y_eut,fc_y_eut__ethn_003b,I don't feel accepted by other Americans:,yes,maybe sensitive,life events,not applicable,_none_,0,10806,10661,0,9500,0,4926
Core,"Friends, Family, & Community",Community,Youth,fc_y_eut,fc_y_eut__ethn_003c,I feel that other Americans have something against me:,yes,maybe sensitive,life events,not applicable,_none_,0,10773,10654,0,9492,0,4922
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__alc_001,"Has any blood relative of your child ever had any problems due to alcohol, such as: Marital separation or divorce; laid off or fired from work; arrests or DUIs; alcohol harmed their health; In an alcohol treatment program; suspended or expelled from school 2 or more times; isolated self from family, caused arguments or were drunk a lot.",yes,maybe sensitive,genetics and family history,not applicable,family behavior problems,11530,0,0,0,0,0,4901
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__dep_001,"Has any blood relative of your child ever suffered from depression, that is, have they felt so low for a period of at least two weeks that they hardly ate or slept or couldn't work or do whatever they usually do?",yes,not sensitive,genetics and family history,not applicable,depression,11349,0,0,0,0,0,4854
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__doc_001,"Has any blood relative of your child ever been to a doctor or a counselor about any emotional or mental problems, or problems with alcohol or drugs?",yes,not sensitive,genetics and family history,not applicable,_none_,11399,0,0,0,0,0,4888
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__drg_001,"Has any blood relative of your child ever had any problems due to drugs, such as: Marital separation or divorce; laid off or fired from work; arrests or DUIs; drugs harmed their health; in a drug treatment program; suspended or expelled from school 2 or more times; isolated self from family, caused arguments or were high a lot.",yes,maybe sensitive,genetics and family history,not applicable,family behavior problems,11535,0,0,0,0,0,4898
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__halluc_001,Has any blood relative of your child ever had a period lasting six months when they saw visions or heard voices or thought people were spying on them or plotting against them?,yes,not sensitive,genetics and family history,not applicable,_none_,11413,0,0,0,0,0,4873
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__hosp_001,"Has any blood relative of your child ever been hospitalized because of emotional or mental problems, or drug or alcohol problems?",yes,not sensitive,genetics and family history,not applicable,_none_,11399,0,0,0,0,0,4882
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__mania_001,Has any blood relative of your child ever had a period of time when others were concerned because they suddenly became more active day and night and seemed not to need any sleep and talked much more than usual for them?,yes,not sensitive,genetics and family history,not applicable,_none_,11341,0,0,0,0,0,4864
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__nerve_001,"Has any blood relative of your child ever had any other problems with their nerves, or had a nervous breakdown?",yes,not sensitive,genetics and family history,not applicable,_none_,11353,0,0,0,0,0,4854
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__suic_001,Has any blood relative of your child ever attempted or committed suicide?,yes,maybe sensitive,genetics and family history,not applicable,_none_,11341,0,0,0,0,0,4855
Core,Mental Health,Broad Psychopathology,Parent,mh_p_famhx,mh_p_famhx__troub_001,"Has any blood relative of your child been the kind of person who never holds a job for long, or gets into fights, or gets into trouble with the police from time to time, or had any trouble with the law as a child or an adult?",yes,maybe sensitive,genetics and family history,not applicable,family behavior problems,11577,0,0,0,0,0,4899
